index,credId,fullName,studentId,dob,programCode,degreeTitle,vct,graduationDate,honors,gpa,batchId,holderEmail
0,urn:uuid:2052921a-2026-4c5e-8921-205292100001,Hồ Anh Dũng,2052921,2002-05-26,CSE,Kỹ sư Khoa học Máy tính,BKISC_DEGREE,2026-06-15,Xuất sắc,3.85,GRAD-2026-01,dung.ho265@hcmut.edu.vn
1,urn:uuid:22bdc907-113e-4e93-972f-5953491690f6,Trương Trung Nhung,2210001,2002-07-01,CE,Kỹ sư Xây dựng,BKISC_DEGREE,2026-06-15,Khá,2.82,GRAD-2026-01,2210001@hcmut.edu.vn
2,urn:uuid:069ecde7-6d8b-4ef7-869b-53842e7ae57a,Hoàng Trung Hải,2210002,1999-09-06,CE,Kỹ sư Xây dựng,BKISC_DEGREE,2026-06-15,Khá,2.57,GRAD-2026-01,2210002@hcmut.edu.vn
3,urn:uuid:952d4990-d141-49d2-9d5c-c5b555013111,Hoàng Ngọc An,2310001,2001-12-17,CHE,Kỹ sư Kỹ thuật Hoá học,BKISC_DEGREE,2026-06-15,Khá,3.07,GRAD-2026-01,2310001@hcmut.edu.vn
4,urn:uuid:19679387-4f8c-4ca5-b3f3-f4418fce9cdb,Tô Thiện Hương,1910001,2000-06-24,CSE,Kỹ sư Khoa học Máy tính,BKISC_DEGREE,2026-06-15,Xuất sắc,3.81,GRAD-2026-01,1910001@hcmut.edu.vn
5,urn:uuid:c8b72b1c-23f7-4c21-b1b8-0ed114d36602,Hoàng Tuấn Long,2410001,2003-02-03,IE,Kỹ sư Kỹ thuật Công nghiệp,BKISC_DEGREE,2026-06-15,Giỏi,3.48,GRAD-2026-01,2410001@hcmut.edu.vn
6,urn:uuid:e8108b01-6cbe-49f2-89df-9f7178a917ef,Hồ Hoàng Sơn,2210003,2001-01-19,CE,Kỹ sư Xây dựng,BKISC_DEGREE,2026-06-15,Khá,2.64,GRAD-2026-01,2210003@hcmut.edu.vn
7,urn:uuid:c09a48c6-c9bb-470c-99ed-647e32bd45d6,Phạm Thị Yến,2010001,2003-11-14,EE,Kỹ sư Điện - Điện tử,BKISC_DEGREE,2026-06-15,Trung bình,2.30,GRAD-2026-01,2010001@hcmut.edu.vn
8,urn:uuid:5dd25428-efe9-4f58-8f5e-ab91fcfcb560,Dương Phương Vy,2610001,2002-03-26,MTR,Kỹ sư Kỹ thuật Vật liệu,BKISC_DEGREE,2026-06-15,Khá,2.82,GRAD-2026-01,2610001@hcmut.edu.vn
9,urn:uuid:1665a8b7-dac9-42fc-81dd-2c584f77268c,Dương Thanh Tâm,2310002,2002-10-24,CHE,Kỹ sư Kỹ thuật Hoá học,BKISC_DEGREE,2026-06-15,Khá,2.98,GRAD-2026-01,2310002@hcmut.edu.vn
